annotation_id,user_id,post_id,text,manual_label,manual_label_name
25,289491324,702,"#JDM #Anime #CarJapane #Nissan #MTA #rccd #silvia15 #слива #ads #tuningcars #coolstyle #анименаавто #дрифт #driftjapane #RDS #toyo #autotuning #spbtuning #ксенон #золотаяслива #сакура
🔰🇯🇵🏯日産シルビア🏯🇯🇵🔰
🚘🎵MADE IN JAPANE🎶🚘 
Спортивное купе, выпускавшееся японским автопроизводителем Nissan с 1965 по 2002 годы. Купе строилось на платформе Nissan S. Хотя и последние модели разделяли это шасси с другими автомобилями Nissan, название Silvia на эти автомобили совместно с кодами шасси не переходило.
РеПоСтИтЕ КтО Хо4еТ🤗 
[id266530502|Анрекс] - штурман😎анимешник
[id289491324|@a.makeevofficial] - дрифтер🤪",2,Нейтральный
26,231724781,8358,"день 4 💖
сильно нагружена, но держусь ✨
https://t.me/alishka_AK

#alishkalife #cats #кося",2,Нейтральный
27,38068582,20576,Я в восторге!🤡 #it #27летспустя,1,Позитивный
28,136134442,1223,"Костя, с днем рождения!!!! Океан счастья, море здоровья, реки любви и водопад денег! Единая Служба Объявлений и группы о работе в Екатеринбурге. Сергей 🥂
https://vk.com/zarplataburg и https://vk.com/myjob_ekb",1,Позитивный
29,4209012,24683,"Открытие / продолжение !
EMS студия FITSTORY в Солнечном 🔥
Лучистая, 6

ЗАВТРА 15.10 
Ждем Вас на TEST DRIVE тренировки 💪🏽 
Праздничная атмосфера 🥳 
Угощения 
И беспроигрышная лотерея, для тех, кто приобретает у нас любой абонемент 🔥

Буду рада видеть ВАС в своем втором филиале 🥳
Буду в студии целый день!",1,Позитивный
30,2617,51984,"Ищем ещё одного админа в «Вокал Через Бокал».

Наши требования: внимательность.

Наш рекрутёр на собесе: Что тебя зацепило в вакансии?

Кандидат: Меня зацепило название, ну там ""вокал под бокал"" или что-то такое.",2,Нейтральный
31,82508638,11282,Можно мне домой?)🐰,2,Нейтральный
32,93963727,13235,[id81966819|Анастасия] [id329123722|Светлана],2,Нейтральный
33,79613519,11081,"Доброе утро страна)😊❤
Милые девочки, наполняйте всё вокруг светом, цветите и радуйте окружающих!) Оставайтесь по настоящему женственными, желанными и любимыми)😘🌸🌸🌸🌸",1,Позитивный
34,37129467,10084,С Днём России! 🇷🇺🇷🇺🇷🇺,1,Позитивный
35,641099221,18422,"🇷🇺 В большинстве регионов уже утвердили меры поддержки для добровольцев. В Свердловской области ( https://vk.cc/cTzz8B ), например, их 22 — о чем сообщил губернатор Денис Паслер. Прозрачная и понятная система для всех добровольческих организаций и НКО стала благодаря принятому нами два года назад закону.

👉🏻 Все меры поддержки, кстати, доступны в Добро.Навигаторе - navigator.dobro.ru",2,Нейтральный
36,40394407,13300,"Сказочный , потрясающей красоты город Брюгге 🥰",1,Позитивный
37,766980427,21966,"🐾 ВСЕМИРНЫЙ ДЕНЬ ЗАЩИТЫ ЖИВОТНЫХ 

🤩 Сегодня планета дружно говорит: 
«ГАВ...», «МЯУУУУ...», «РРРРР...» ...... 🐶😻🐰

🦜🐢 Потому что сегодня - праздник, когда мы вспоминаем, что животные – это не просто пушистые компаньоны, а полноправные жители Земли..... 🐍🐠

❤️‍🔥 Они дарят нам столько радости, смеха и безусловной любви, что иногда хочется обнять их всех сразу. 

🔥 ЭТОТ ДЕНЬ – ОТЛИЧНЫЙ ПОВОД:

😍 Сделать доброе дело
Покормить бездомного котика/собачку, помочь приюту, или просто погладить своего питомца с особой нежностью.

🫂Поделиться любовью
Выложить фото своего любимца с хэштегом #ДеньЗащитыЖивотных и показать всему миру, какой он у вас классный.

❤️‍🔥 Давайте будем любить наших «братьев меньших» 

#ВсемирныйДеньЗащитыЖивотных #ЗащитаЖивотных #Любимцы",1,Позитивный
38,9179382,1452,"Макс Корж X David Guetta & Sia - Время Beautiful People (Eidly Mashup)

Скачать на Boosty:
https://boosty.to/eidly/posts/bf7e49eb-0a27-4cd3-951f-172f61208ce0?share=post_link",2,Нейтральный
39,447643415,71,Настенька и Низамина,2,Нейтральный
40,298111287,18333,"не город, а любовь 🏙💙",1,Позитивный
41,127673855,68430,🍁 #Александровскийпарк,2,Нейтральный
42,121130299,17310,"https://youtu.be/9N__xiXyiBg
https://youtu.be/9N__xiXyiBg
https://youtu.be/9N__xiXyiBg",2,Нейтральный
43,12291237,20371,"Когда сходил уже на все квесты и квизы, хочется чего-то нового, нужно идти на [club193061920|@st.twins.volgograd]. Это новый для Волгограда формат игр, что-то среднее между квестом и квизом. Каждая команда - это детективное агентство, есть нераскрытое дело, и вот задача команды - раскрыть дело, максимально быстро и максимально точно.
Я как человек, мечтавший стать следователем, была очень увлечена процессом. Было реально сложно, не все сразу понятно, но реально было очень круто и увлекательно. В следующий раз мы уже знаем, как и что, поэтому выиграть будет проще.",2,Нейтральный
44,87800684,1843053,"ПОСЛЕДНЯЯ КНОПКА - Неудачные Кадры

https://youtu.be/qfxj4kBeSdw",2,Нейтральный
45,41949090,198269,юноша с корзиной фруктов,2,Нейтральный
46,7205769,5606,Кого играть буду?),2,Нейтральный
47,45848515,17622,"Эти каникулы были по-настоящему бодрящими: хотелось провести их в динамике( на ёлке, катках и горках), но наши короткие перебежки от подъезда к машине назвать спортивными нельзя. А все дело в морозах, которые нагрянули в начале января. 
И если я была готова к таким холодам, то Катя в свои 7 месяцев была в шоке. Она удивлённо вздыхала, когда ее выносили на улицу, и широко открывала глаза, возмущаясь. 
Да, ее и без слов было понятно: я бы тоже не выходила бы лишний раз на улицу в такую погоду, но двигаться было нужно, хотя бы до родственников. 
В мороз мы защищаем все тело, кроме лица, мы одеваем несколько слоев, но на встречу ветру остается идти лишь одному участку тела голышом. У детей оно еще и краснеет быстро, появляются красные круги и сухость. Здесь спасают плотные , жирные средства, которые тонким слоем облачают кожу как в доспехи. 
Моими доспехами этой зимой стал Lipikar стик AP+ для сухой и раздраженной кожи. 
Мне очень понравился способ нанесения крема, который выглядит как большая помада, но ее нужно наносить на все лицо. При этом руки совсем не пачкаются, его удобно брать с собой, он не растекается и его не нужно сушить. 
При нанесении он покрывает кожу тонким слоем, который защищает от ветра и мороза, но при этом практически не блестит и не ощущается на коже лица.
Этот небольшой стик умещается в ладони, легко прячется в кармане и еще легче используется. Его можно наносить непосредственно перед выходом, его не нужно ждать, он не оставляет липкости, имеет приятную текстуру и запах.",0,Негативный
48,136820067,5449,"#ГЛАВНОЕ НЕ СОРВАТЬСЯ

Точка А 106кг

На сегодня спустя 6 месяцев
Точка Б 89,2кг

Знаете эти полгода не прошли легко и в этом наверное своя польза. Польза закалки, выдержки, терпения, стойкости, силы воли. Через кровь, боль, слезы и опустившиеся руки пришлось пробираться через тернии к звёздам.

Астрологи, тарологи мне говорили, что год будет не простым, а я не верил, потому-что тогда я думал, что уже интереснее некуда🙈, как я оказался не прав! Очень весело ( сарказм ) прошла половина года и вот когда вроде бы более менее устаканилось, то судьба опять бросает меня в пучину страстей, чтобы видно я не расслаблялся.

#6месяцев без:
- алкоголь 🥃 
- кофе ☕️

P.s. Но ситуации в жизни толкают сорваться🙈

#судьба #жизнь #испытания",1,Позитивный
49,290088896,1675,"Сила Преданности. 
 
Если Вы не преданы человеку - на самом деле вы не любите его. Чтобы иметь истинно любовные отношения, нужно быть преданным этим отношениям. Преданность отличает хрупкие отношения от прочных. Любовь - это преданность. Боязнь обязательств - страх. Страх - самая большая помеха Любви. Страх отказа, страх насмешки, страх потери. Хочешь Любви - стремись преодолеть свои страхи и опасения, и будь готов посвятить себя всему тому, что тебе дорого. В любых взаимоотношениях есть свои взлеты и падения, времена хорошие и плохие.Великая сила любви 
Жизнеспособность отношений зависит от того, КАК мы справляемся с такими периодами. Для успешных взаимоотношений важно ДВОИМ понять, что их отношения важнее всего: денег, карьеры, машин и одежды. И расставание не должно рассматриваться, даже как вариант. Проблема в том, что иногда мы просто не преданы другому, и поэтому сдаемся. Чтобы Любовь была Истинной, нужно быть преданным ей, и эта преданность отразится в мыслях и действиях. Преданность - это настоящая проверка Любви.Великая сила любви",2,Нейтральный
50,150542644,10716,"Есть люди, которые тебя выдержат, Ника. 

Несмотря ни на что. И не отвергнут. 

У тебя уже есть такие люди, Ника. 

Несмотря на сложности, они не помашут тебе ручкой, а останутся. 

И ты тоже будешь оставаться рядом с ними, каждый раз выбирая их, несмотря на боль. 

И в этом будет твоя сила, Ника. 

Не в том, чтобы никогда не падать, а в том, чтобы каждый раз подниматься и знать — ты не одна. 

Тебе не нужно притворяться сильной или удобной, с ними можно быть настоящей.

Можно плакать, можно молчать, можно смеяться до слёз, можно лажать.

Эти люди — твой тихий дом, твоя опора. 

И даже когда кажется, что всё рушится, рядом с ними ты почувствуешь: жизнь всё ещё держит тебя за руку. 

Храни их, Ника. 

Потому что такие люди — редкость. 

И ты сама для них такая же редкость. 

Но кто-то обязательно уйдет, и этих кого-то гораздо больше, чем тех, кто остается и выдерживает, делая шаг на встречу близости.",1,Позитивный
51,151106975,1204,"Девочка, наша любимая:* Нам уже 6 месяцев:* моя феечка:*",1,Позитивный
52,117825837,5474,"Круиз по реке «Лобок», Филиппины 🇵🇭 
Невероятный заряд энергией, если будете здесь, то обязательно рекомендую посетить плавучий ресторан. Шведский стол, живая музыка, и крутое настроение окружающих не оставят равнодушным ♥️ 
#филиппины #лобок #плавучийресторан #philippines",1,Позитивный
53,40131779,25659,Новая Голландия. Старый Исакий. И я где-то между ),2,Нейтральный
54,235267573,7558,"НАЧИНАЕМ 👽 
ИСТИННЫЙ ТУР 2017 :
[club149545935|САНКТ - ПЕТЕРБУРГ] - 3 ИЮЛЯ ( https://vk.com/veritytourspb )
[club149550700|МОСКВА] - 6 ИЮЛЯ ( https://vk.com/veritytourmoscow )
[club149552299|САМАРА] - 9 ИЮЛЯ ( https://vk.com/veritytoursamara )
[club149559639| ИЖЕВСК ] - 12 ИЮЛЯ ( https://vk.com/veritytourizhevsk ) 
[club149559704|ЕКАТЕРИНБУРГ] - 16 ИЮЛЯ ( https://vk.com/veritytourekb )
[club149559761|ЧЕЛЯБИНСК] - 19 ИЮЛЯ ( https://vk.com/veritytourchelyabinsk )
TO BE CONTINUED...

В каждом городе будет проводиться мини соревнование и достойный получит приз от магазина [club139139112|VERITY STORE 🌖]

Следите за информацией 👀 Информация будет дополнятся !!! 

Если ты не увидел своего города,то не расстраивайся ! Это еще не все города и тур будет ""длиннее"" чем ты думаешь 😜

Имеешь вопросы ? - [id235267573|СПРАШИВАЙ МЕНЯ 👽😁]

#polianskii
#VERITYTOUR2017
#VERITYSTORE",2,Нейтральный
55,140101786,77640,"Он сказал, что любит закаты, поэтому я закатила глаза, потому истерику 🫶🏼",1,Позитивный
56,2333808,35306,Я в восторге❤Так не хочется что бы эта красота заканчивалась☀️,1,Позитивный
57,153450207,12077,"С 92-летием, основанием Воздушных Десантных Войск 
Василием Филипповичем Маргеловым. 
Чистого неба над головой.
#ЗаВДВ 💪🏼🫡🇷🇺",1,Позитивный
58,48789689,1978,"Чествование отличников у губернатора, было круто))) особенно обрадовала встреча с импербальцами. Ребята, был рад увидеть вас снова
#ДИВС#чествование#медалистов",1,Позитивный
59,4209012,24394,"💪🏽❤️отличный результат, умничка моя, дальше больше💪🏽",1,Позитивный
60,40471619,22217,Не оставайтесь равнодушными пожалуйста 🙏😔,0,Негативный
